Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
Vayne, Blade of the Ruined King, Phantom Dancer, Infinity Edge,,2.13%,63.86%
Vayne, Blade of the Ruined King, Guinsoo's Rageblade, Maw of Malmortius,,2.11%,58.54%
Vayne, Blade of the Ruined King, Guinsoo's Rageblade, Guardian Angel,,1.44%,55.36%
Xayah, Essence Reaver, Infinity Edge, Rapid Firecannon,,45.33%,59.55%
Xayah, Essence Reaver, Rapid Firecannon, Infinity Edge,,27.39%,54.37%
Xayah, Essence Reaver, Infinity Edge, Phantom Dancer,,10.47%,54.33%
Xayah, Essence Reaver, Phantom Dancer, Infinity Edge,,3.99%,53.64%
Xayah, Essence Reaver, Infinity Edge, Runaan's Hurricane,,1.20%,72.73%
Xayah, Essence Reaver, Infinity Edge, Bloodthirster,,1.01%,57.14%
Xayah, Essence Reaver, Rapid Firecannon, Guardian Angel,,0.98%,48.15%
Xayah, Essence Reaver, Rapid Firecannon, Phantom Dancer,,0.87%,58.33%
Yasuo, Statikk Shiv, Infinity Edge, Sterak's Gage,,26.21%,57.23%
Yasuo, Phantom Dancer, Infinity Edge, Guardian Angel,,12.42%,70.73%
Yasuo, Phantom Dancer, Infinity Edge, Frozen Mallet,,10.00%,60.61%
Yasuo, Statikk Shiv, Infinity Edge, Guardian Angel,,7.12%,68.09%
Yasuo, Phantom Dancer, Infinity Edge, Bloodthirster,,6.82%,60.00%
Yasuo, Statikk Shiv, Infinity Edge, Bloodthirster,,6.67%,59.09%
Yasuo, Phantom Dancer, Infinity Edge, Sterak's Gage,,4.24%,53.57%
Yasuo, Phantom Dancer, Infinity Edge, Mercurial Scimitar,,3.48%,69.57%
Aatrox, Black Cleaver, Death's Dance, Sterak's Gage,,38.09%,59.50%
Aatrox, Black Cleaver, Death's Dance, Guardian Angel,,18.15%,60.89%
Aatrox, Black Cleaver, Death's Dance, Spirit Visage,,11.86%,56.93%
Aatrox, Black Cleaver, Sterak's Gage, Death's Dance,,3.50%,61.00%
Aatrox, Black Cleaver, Death's Dance, Maw of Malmortius,,3.36%,63.54%
Aatrox, Black Cleaver, Death's Dance, Youmuu's Ghostblade,,1.99%,66.67%
Aatrox, Black Cleaver, Sterak's Gage, Guardian Angel,,1.82%,57.69%
Aatrox, Black Cleaver, Maw of Malmortius, Death's Dance,,1.57%,46.67%
Akali, Hextech Gunblade, Morellonomicon, Zhonya's Hourglass,,35.50%,50.00%
Akali, Hextech Gunblade, Zhonya's Hourglass, Morellonomicon,,23.87%,52.07%
Akali, Hextech Gunblade, Morellonomicon, Rabadon's Deathcap,,4.73%,45.83%
Akali, Hextech Gunblade, Zhonya's Hourglass, Rabadon's Deathcap,,4.73%,58.33%
Akali, Hextech Gunblade, Morellonomicon, Void Staff,,2.96%,60.00%
Akali, Hextech Gunblade, Rabadon's Deathcap, Zhonya's Hourglass,,2.37%,41.67%
Akali, Hextech Gunblade, Zhonya's Hourglass, Void Staff,,2.37%,25.00%
Akali, Hextech Gunblade, Zhonya's Hourglass, Banshee's Veil,,1.78%,55.56%
Camille, Tiamat, Trinity Force, Ravenous Hydra, Sterak's Gage,25.33%,65.51%
Camille, Trinity Force, Ravenous Hydra, Sterak's Gage,,18.09%,65.85%
Camille, Tiamat, Trinity Force, Ravenous Hydra, Guardian Angel,10.15%,66.09%
Camille, Trinity Force, Ravenous Hydra, Guardian Angel,,9.71%,69.09%
Camille, Ravenous Hydra, Trinity Force, Sterak's Gage,,3.97%,75.56%
Camille, Tiamat, Trinity Force, Sterak's Gage, Ravenous Hydra,3.09%,71.43%
Camille, Ravenous Hydra, Trinity Force, Guardian Angel,,2.56%,62.07%
Camille, Tiamat, Trinity Force, Titanic Hydra, Sterak's Gage,1.77%,55.00%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Liandry's Torment,,19.26%,55.13%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Zhonya's Hourglass,,12.59%,52.94%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Morellonomicon,,10.86%,47.73%
Cassiopeia, Rod of Ages, Archangel's Staff, Rylai's Crystal Scepter,,5.19%,61.90%
Cassiopeia, Archangel's Staff, Morellonomicon, Rylai's Crystal Scepter,,4.94%,70.00%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Banshee's Veil,,4.44%,44.44%
Cassiopeia, Archangel's Staff, Zhonya's Hourglass, Rylai's Crystal Scepter,,3.21%,69.23%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Rabadon's Deathcap,,2.47%,60.00%
ChoGath,Hextech GLP-800, Twin Shadows, Righteous Glory,,11.00%,61.76%
ChoGath,Hextech GLP-800, Twin Shadows, Gargoyle Stoneplate,,7.44%,43.48%
ChoGath,Hextech GLP-800, Twin Shadows, Warmog's Armor,,3.88%,66.67%
ChoGath,Hextech GLP-800, Twin Shadows, Zhonya's Hourglass,,3.88%,50.00%
ChoGath,Hextech GLP-800, Righteous Glory, Gargoyle Stoneplate,,1.94%,66.67%
ChoGath,Hextech GLP-800, Twin Shadows, Abyssal Mask,,1.94%,50.00%
ChoGath,Hextech GLP-800, Twin Shadows, Morellonomicon,,1.94%,0.00%
ChoGath, Rod of Ages,Hextech GLP-800, Twin Shadows,,1.62%,60.00%
Darius, Trinity Force, Sterak's Gage, Spirit Visage,,13.58%,60.24%
Darius, Trinity Force, Titanic Hydra, Sterak's Gage,,12.26%,64.32%
Darius, Trinity Force, Sterak's Gage, Dead Man's Plate,,8.15%,63.82%
Darius, Trinity Force, Sterak's Gage, Guardian Angel,,7.25%,63.47%
Darius, Trinity Force, Titanic Hydra, Spirit Visage,,3.97%,60.83%
Darius, Trinity Force, Sterak's Gage, Randuin's Omen,,3.54%,62.62%
Darius, Trinity Force, Sterak's Gage, Titanic Hydra,,3.41%,63.11%
Darius, Trinity Force, Sterak's Gage, Righteous Glory,,3.08%,59.14%
DrMundo, Sunfire Cape, Spirit Visage, Thornmail,,13.77%,55.38%
DrMundo, Sunfire Cape, Spirit Visage, Warmog's Armor,,8.69%,70.73%
DrMundo, Spirit Visage, Sunfire Cape, Warmog's Armor,,7.63%,83.33%
DrMundo, Spirit Visage, Sunfire Cape, Thornmail,,6.57%,41.94%
DrMundo, Sunfire Cape, Thornmail, Spirit Visage,,4.24%,75.00%
DrMundo, Sunfire Cape, Spirit Visage, Randuin's Omen,,3.18%,53.33%
DrMundo, Sunfire Cape, Spirit Visage, Dead Man's Plate,,2.97%,57.14%
DrMundo, Sunfire Cape, Spirit Visage, Gargoyle Stoneplate,,2.75%,38.46%
Fiora, Ravenous Hydra, Trinity Force, Sterak's Gage,,22.81%,55.40%
Fiora, Ravenous Hydra, Trinity Force, Death's Dance,,22.40%,64.56%
Fiora, Ravenous Hydra, Trinity Force, Guardian Angel,,11.31%,63.71%
Fiora, Ravenous Hydra, Trinity Force, Maw of Malmortius,,5.61%,57.72%
Fiora, Ravenous Hydra, Trinity Force, Sanguine Blade,,3.83%,59.52%
Fiora, Ravenous Hydra, Trinity Force, Bloodthirster,,3.60%,74.68%
Fiora, Tiamat, Trinity Force, Ravenous Hydra, Sterak's Gage,3.28%,56.94%
Fiora, Tiamat, Trinity Force, Ravenous Hydra, Guardian Angel,2.19%,60.42%
Gangplank, Trinity Force, Essence Reaver, Infinity Edge,,35.15%,55.90%
Gangplank, Trinity Force, Essence Reaver, Sterak's Gage,,13.53%,60.80%
Gangplank, Trinity Force, Sterak's Gage, Essence Reaver,,10.47%,52.60%
Gangplank, Trinity Force, Youmuu's Ghostblade, Sterak's Gage,,7.14%,54.29%
Gangplank, Trinity Force, Sterak's Gage, Youmuu's Ghostblade,,4.15%,45.90%
Gangplank, Trinity Force, Essence Reaver, Guardian Angel,,2.99%,81.82%
Gangplank, Trinity Force, Sterak's Gage, Guardian Angel,,2.24%,57.58%
Gangplank, Trinity Force, Youmuu's Ghostblade, Essence Reaver,,2.18%,50.00%
Garen, Trinity Force, Statikk Shiv, Dead Man's Plate,,19.23%,64.01%
Garen, Trinity Force, Phantom Dancer, Dead Man's Plate,,11.96%,60.44%
Garen, Trinity Force, Dead Man's Plate, Statikk Shiv,,5.12%,60.68%
Garen, Trinity Force, Dead Man's Plate, Phantom Dancer,,4.29%,64.29%
Garen, Trinity Force, Statikk Shiv, Sterak's Gage,,4.29%,56.12%
Garen, Trinity Force, Dead Man's Plate, Sterak's Gage,,3.81%,64.37%
Garen, Black Cleaver, Statikk Shiv, Dead Man's Plate,,2.85%,58.46%
Garen, Trinity Force, Dead Man's Plate, Spirit Visage,,2.19%,56.00%
Gnar, Black Cleaver, Frozen Mallet, Guardian Angel,,11.08%,62.22%
Gnar, Black Cleaver, Frozen Mallet, Randuin's Omen,,8.87%,44.44%
Gnar, Black Cleaver, Frozen Mallet, Dead Man's Plate,,5.91%,75.00%
Gnar, Black Cleaver, Frozen Mallet, Gargoyle Stoneplate,,5.17%,52.38%
Gnar, Black Cleaver, Frozen Mallet, Wit's End,,4.93%,40.00%
Gnar, Black Cleaver, Frozen Mallet, Thornmail,,2.96%,33.33%
Gnar, Black Cleaver, Randuin's Omen, Gargoyle Stoneplate,,2.71%,63.64%
Gnar, Black Cleaver, Frozen Mallet, Adaptive Helm,,2.46%,40.00%
Hecarim, Trinity Force, Righteous Glory, Spirit Visage,,23.86%,53.19%
Hecarim, Trinity Force, Righteous Glory, Sterak's Gage,,9.90%,64.10%
Hecarim, Trinity Force, Spirit Visage, Righteous Glory,,5.08%,70.00%
Hecarim, Trinity Force, Sterak's Gage, Spirit Visage,,4.57%,27.78%
Hecarim, Trinity Force, Righteous Glory, Dead Man's Plate,,3.30%,61.54%
Hecarim, Trinity Force, Sterak's Gage, Dead Man's Plate,,3.05%,58.33%
Hecarim, Trinity Force, Spirit Visage, Sterak's Gage,,3.05%,75.00%
Hecarim, Trinity Force, Sterak's Gage, Righteous Glory,,2.54%,70.00%
Heimerdinger, Luden's Echo, Zhonya's Hourglass, Morellonomicon,,13.22%,48.72%
Heimerdinger, Luden's Echo, Zhonya's Hourglass, Rylai's Crystal Scepter,,6.44%,57.89%
Heimerdinger, Luden's Echo, Zhonya's Hourglass, Rabadon's Deathcap,,5.76%,58.82%
Heimerdinger, Luden's Echo, Morellonomicon, Zhonya's Hourglass,,5.76%,58.82%
Heimerdinger, Zhonya's Hourglass, Luden's Echo, Morellonomicon,,4.07%,50.00%
Heimerdinger, Luden's Echo, Zhonya's Hourglass, Liandry's Torment,,3.39%,30.00%
Heimerdinger, Luden's Echo, Zhonya's Hourglass, Void Staff,,2.03%,83.33%
Heimerdinger, Luden's Echo, Morellonomicon, Liandry's Torment,,2.03%,66.67%
Illaoi, Black Cleaver, Sterak's Gage, Spirit Visage,,27.77%,54.61%
Illaoi, Black Cleaver, Sterak's Gage, Death's Dance,,22.84%,63.90%
Illaoi, Black Cleaver, Sterak's Gage, Guardian Angel,,7.87%,51.81%
Illaoi, Black Cleaver, Sterak's Gage, Randuin's Omen,,6.92%,60.27%
Illaoi, Black Cleaver, Sterak's Gage, Warmog's Armor,,4.27%,62.22%
Illaoi, Black Cleaver, Death's Dance, Sterak's Gage,,3.89%,68.29%
Illaoi, Black Cleaver, Sterak's Gage, Thornmail,,3.41%,52.78%
Illaoi, Black Cleaver, Spirit Visage, Sterak's Gage,,2.84%,66.67%
Irelia, Tiamat, Trinity Force, Titanic Hydra, Sterak's Gage,12.95%,60.00%
Irelia, Trinity Force, Sterak's Gage, Guardian Angel,,7.69%,56.52%
Irelia, Trinity Force, Titanic Hydra, Sterak's Gage,,6.90%,64.85%
Irelia, Tiamat, Trinity Force, Sterak's Gage, Titanic Hydra,4.93%,58.47%
Irelia, Tiamat, Trinity Force, Titanic Hydra, Guardian Angel,4.55%,51.38%
Irelia, Tiamat, Trinity Force, Sterak's Gage, Guardian Angel,4.35%,56.73%
Irelia, Trinity Force, Wit's End, Sterak's Gage,,3.13%,69.33%
Irelia, Trinity Force, Titanic Hydra, Guardian Angel,,2.93%,47.14%
Jax, Trinity Force, Death's Dance, Sterak's Gage,,24.39%,59.88%
Jax, Trinity Force, Titanic Hydra, Sterak's Gage,,7.99%,64.86%
Jax, Trinity Force, Death's Dance, Spirit Visage,,3.38%,61.70%
Jax, Trinity Force, Sterak's Gage, Guardian Angel,,2.66%,59.46%
Jax, Trinity Force, Death's Dance, Guardian Angel,,2.59%,61.11%
Jax, Trinity Force, Blade of the Ruined King, Sterak's Gage,,2.23%,64.52%
Jax, Trinity Force, Death's Dance, Wit's End,,2.16%,60.00%
Jax, Trinity Force, Hextech Gunblade, Sterak's Gage,,1.87%,65.38%
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Edge of Night,,8.88%,53.13%
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Black Cleaver,,8.88%,51.56%
Jayce, Youmuu's Ghostblade, Black Cleaver, Duskblade of Draktharr,,5.83%,61.90%
Jayce, Youmuu's Ghostblade, Black Cleaver, Edge of Night,,4.58%,63.64%
Jayce, Youmuu's Ghostblade, Duskblade of Draktharr, Umbral Glaive,,3.47%,44.00%
Jayce, Black Cleaver, Youmuu's Ghostblade, Duskblade of Draktharr,,3.33%,66.67%
Jayce, Manamune, Youmuu's Ghostblade, Duskblade of Draktharr,,3.05%,54.55%
Jayce, Youmuu's Ghostblade, Umbral Glaive, Black Cleaver,,2.64%,42.11%
Karma, Iceborn Gauntlet, Athene's Unholy Grail, Ardent Censer,,9.17%,38.10%
Karma, Athene's Unholy Grail, Ardent Censer, Shurelya's Reverie,,5.68%,92.31%
Karma, Iceborn Gauntlet, Spirit Visage, Athene's Unholy Grail,,4.37%,40.00%
Karma, Iceborn Gauntlet, Spirit Visage, Ardent Censer,,3.49%,62.50%
Karma, Athene's Unholy Grail, Ardent Censer, Redemption,,3.49%,50.00%
Karma, Spirit Visage, Iceborn Gauntlet, Athene's Unholy Grail,,2.62%,50.00%
Karma, Athene's Unholy Grail, Ardent Censer, Mejai's Soulstealer,,2.18%,80.00%
Karma, Iceborn Gauntlet, Ardent Censer, Athene's Unholy Grail,,1.75%,25.00%
Kayle, Hextech Gunblade, Nashor's Tooth, Guinsoo's Rageblade,,58.48%,60.72%
Kayle, Hextech Gunblade, Guinsoo's Rageblade, Nashor's Tooth,,7.13%,58.33%
Kayle, Hextech Gunblade, Nashor's Tooth, Wit's End,,6.34%,50.00%
Kayle, Hextech Gunblade, Nashor's Tooth, Zhonya's Hourglass,,3.37%,70.59%
Kayle, Hextech Gunblade, Wit's End, Nashor's Tooth,,1.52%,52.17%
Kayle, Hextech Gunblade, Nashor's Tooth, Lich Bane,,1.52%,60.87%
Kayle, Hextech Gunblade, Nashor's Tooth, Mejai's Soulstealer,,1.45%,77.27%
Kayle, Hextech Gunblade, Nashor's Tooth, Rabadon's Deathcap,,0.92%,92.86%
Kennen,Hextech Protobelt-01, Zhonya's Hourglass, Morellonomicon,,22.15%,58.65%
Kennen,Hextech Protobelt-01, Morellonomicon, Zhonya's Hourglass,,16.54%,57.06%
Kennen, Hextech Gunblade, Morellonomicon, Zhonya's Hourglass,,5.98%,54.69%
Kennen, Hextech Gunblade, Zhonya's Hourglass, Morellonomicon,,4.86%,61.54%
Kennen,Hextech Protobelt-01, Zhonya's Hourglass, Rabadon's Deathcap,,4.49%,54.17%
Kennen,Hextech Protobelt-01, Zhonya's Hourglass, Spellbinder,,3.46%,54.05%
Kennen,Hextech Protobelt-01, Zhonya's Hourglass, Void Staff,,3.36%,55.56%
Kennen,Hextech Protobelt-01, Spellbinder, Zhonya's Hourglass,,2.24%,62.50%
Kled, Tiamat, Black Cleaver, Titanic Hydra, Guardian Angel,19.79%,60.84%
Kled, Tiamat, Black Cleaver, Titanic Hydra, Sterak's Gage,19.31%,63.44%
Kled, Titanic Hydra, Black Cleaver, Guardian Angel,,13.98%,59.90%
Kled, Titanic Hydra, Black Cleaver, Sterak's Gage,,13.84%,66.00%
Kled, Black Cleaver, Titanic Hydra, Sterak's Gage,,3.25%,48.94%
Kled, Black Cleaver, Titanic Hydra, Guardian Angel,,3.18%,58.70%
Kled, Titanic Hydra, Black Cleaver, Maw of Malmortius,,1.87%,62.96%
Kled, Tiamat, Black Cleaver, Titanic Hydra, Maw of Malmortius,1.38%,60.00%
Lucian, Blade of the Ruined King, Essence Reaver, Infinity Edge,,26.26%,57.05%
Lucian, Blade of the Ruined King, Essence Reaver, Rapid Firecannon,,24.44%,51.92%
Lucian, Blade of the Ruined King, Essence Reaver, Phantom Dancer,,9.05%,55.19%
Lucian, Blade of the Ruined King, Black Cleaver, Essence Reaver,,7.17%,63.11%
Lucian, Blade of the Ruined King, Essence Reaver, Black Cleaver,,3.70%,65.08%
Lucian, Blade of the Ruined King, Black Cleaver, Phantom Dancer,,3.23%,67.27%
Lucian, Blade of the Ruined King, Essence Reaver, Maw of Malmortius,,2.64%,60.00%
Lucian, Blade of the Ruined King, Black Cleaver, Rapid Firecannon,,2.47%,61.90%
Malphite, Sunfire Cape, Iceborn Gauntlet, Thornmail,,5.19%,69.39%
Malphite, Sunfire Cape, Iceborn Gauntlet, Abyssal Mask,,2.96%,64.29%
Malphite, Sunfire Cape, Iceborn Gauntlet, Adaptive Helm,,2.75%,46.15%
Malphite, Sunfire Cape, Thornmail, Iceborn Gauntlet,,2.54%,54.17%
Malphite, Sunfire Cape, Abyssal Mask, Thornmail,,2.43%,73.91%
Malphite, Sunfire Cape, Abyssal Mask, Iceborn Gauntlet,,1.69%,87.50%
Malphite, Sunfire Cape, Iceborn Gauntlet, Gargoyle Stoneplate,,1.38%,53.85%
Malphite, Sunfire Cape, Frozen Heart, Thornmail,,1.38%,61.54%
Maokai, Sunfire Cape, Spirit Visage, Thornmail,,10.50%,54.76%
Maokai, Sunfire Cape, Spirit Visage, Righteous Glory,,6.25%,76.00%
Maokai, Sunfire Cape, Thornmail, Spirit Visage,,4.50%,50.00%
Maokai, Spirit Visage, Sunfire Cape, Righteous Glory,,3.50%,64.29%
Maokai, Spirit Visage, Sunfire Cape, Thornmail,,3.25%,23.08%
Maokai, Sunfire Cape, Spirit Visage, Randuin's Omen,,2.75%,54.55%
Maokai, Sunfire Cape, Thornmail, Righteous Glory,,2.50%,80.00%
Maokai, Sunfire Cape, Righteous Glory, Spirit Visage,,2.50%,50.00%
Mordekaiser,Hextech Protobelt-01, Rylai's Crystal Scepter, Liandry's Torment,,9.11%,60.88%
Mordekaiser,Hextech Protobelt-01, Rylai's Crystal Scepter, Zhonya's Hourglass,,7.74%,53.45%
Mordekaiser, Rylai's Crystal Scepter, Liandry's Torment, Zhonya's Hourglass,,4.21%,56.11%
Mordekaiser, Liandry's Torment, Nashor's Tooth, Zhonya's Hourglass,,3.83%,56.72%
Mordekaiser,Hextech Protobelt-01, Liandry's Torment, Rylai's Crystal Scepter,,3.57%,58.82%
Mordekaiser,Hextech Protobelt-01, Zhonya's Hourglass, Rylai's Crystal Scepter,,2.75%,56.25%
Mordekaiser, Liandry's Torment, Rylai's Crystal Scepter, Zhonya's Hourglass,,2.46%,55.81%
Mordekaiser,Hextech Protobelt-01, Liandry's Torment, Zhonya's Hourglass,,2.42%,52.76%
Nasus, Trinity Force, Righteous Glory, Spirit Visage,,15.95%,55.22%
Nasus, Trinity Force, Spirit Visage, Righteous Glory,,4.05%,76.47%
Nasus, Trinity Force, Righteous Glory, Thornmail,,3.81%,75.00%
Nasus, Trinity Force, Spirit Visage, Dead Man's Plate,,3.81%,37.50%
Nasus, Frozen Heart, Trinity Force, Spirit Visage,,3.33%,64.29%
Nasus, Trinity Force, Spirit Visage, Thornmail,,3.33%,50.00%
Nasus, Trinity Force, Frozen Heart, Spirit Visage,,3.10%,61.54%
Nasus, Trinity Force, Righteous Glory, Dead Man's Plate,,2.86%,75.00%
Nocturne, Sanguine Blade, Duskblade of Draktharr, Black Cleaver,,2.71%,66.67%
Nocturne, Sanguine Blade, Duskblade of Draktharr, Youmuu's Ghostblade,,2.26%,40.00%
Nocturne, Tiamat, Duskblade of Draktharr, Black Cleaver, Guardian Angel,2.26%,60.00%
Nocturne, Tiamat, Duskblade of Draktharr, Umbral Glaive, Edge of Night,2.26%,60.00%
Nocturne, Sanguine Blade, Black Cleaver, Duskblade of Draktharr,,1.81%,75.00%
Nocturne, Sanguine Blade, Duskblade of Draktharr, Guardian Angel,,1.81%,50.00%
Nocturne, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Black Cleaver,1.81%,0.00%
Nocturne, Sanguine Blade, Duskblade of Draktharr, Edge of Night,,1.81%,75.00%
Olaf, Black Cleaver, Sterak's Gage, Guardian Angel,,7.96%,52.08%
Olaf, Black Cleaver, Righteous Glory, Sterak's Gage,,6.14%,56.76%
Olaf, Black Cleaver, Sterak's Gage, Righteous Glory,,5.80%,65.71%
Olaf, Black Cleaver, Sterak's Gage, Spirit Visage,,5.80%,48.57%
Olaf, Death's Dance, Righteous Glory, Spirit Visage,,4.48%,55.56%
Olaf, Black Cleaver, Sterak's Gage, Dead Man's Plate,,4.31%,57.69%
Olaf, Black Cleaver, Righteous Glory, Spirit Visage,,3.98%,54.17%
Olaf, Black Cleaver, Righteous Glory, Death's Dance,,3.81%,47.83%
Ornn, Sunfire Cape, Abyssal Mask, Warmog's Armor,,14.53%,66.04%
Ornn, Abyssal Mask, Sunfire Cape, Warmog's Armor,,9.96%,66.58%
Ornn, Sunfire Cape, Abyssal Mask, Thornmail,,8.21%,64.26%
Ornn, Sunfire Cape, Abyssal Mask, Gargoyle Stoneplate,,4.81%,57.95%
Ornn, Sunfire Cape, Iceborn Gauntlet, Thornmail,,4.19%,61.18%
Ornn, Abyssal Mask, Sunfire Cape, Gargoyle Stoneplate,,3.63%,59.86%
Ornn, Abyssal Mask, Sunfire Cape, Thornmail,,3.48%,56.74%
Ornn, Iceborn Gauntlet, Abyssal Mask, Warmog's Armor,,3.40%,63.77%
Pantheon, Youmuu's Ghostblade, Black Cleaver, Guardian Angel,,15.97%,59.59%
Pantheon, Youmuu's Ghostblade, Black Cleaver, Sterak's Gage,,7.99%,53.42%
Pantheon, Youmuu's Ghostblade, Duskblade of Draktharr, Black Cleaver,,5.80%,66.04%
Pantheon, Youmuu's Ghostblade, Black Cleaver, Maw of Malmortius,,4.92%,57.78%
Pantheon, Youmuu's Ghostblade, Duskblade of Draktharr, Edge of Night,,3.28%,76.67%
Pantheon, Youmuu's Ghostblade, Black Cleaver, Edge of Night,,3.06%,50.00%
Pantheon, Youmuu's Ghostblade, Black Cleaver, Duskblade of Draktharr,,3.06%,50.00%
Pantheon, Black Cleaver, Youmuu's Ghostblade, Guardian Angel,,2.41%,40.91%
Poppy, Sunfire Cape, Adaptive Helm, Gargoyle Stoneplate,,6.96%,52.63%
Poppy, Adaptive Helm, Sunfire Cape, Gargoyle Stoneplate,,3.85%,61.90%
Poppy, Sunfire Cape, Iceborn Gauntlet, Adaptive Helm,,3.85%,59.52%
Poppy, Sunfire Cape, Adaptive Helm, Iceborn Gauntlet,,3.57%,53.85%
Poppy, Sunfire Cape, Adaptive Helm, Thornmail,,3.02%,51.52%
Poppy, Sunfire Cape, Iceborn Gauntlet, Gargoyle Stoneplate,,2.29%,48.00%
Poppy, Sunfire Cape, Iceborn Gauntlet, Thornmail,,2.11%,65.22%
Poppy, Adaptive Helm, Sunfire Cape, Iceborn Gauntlet,,2.01%,59.09%
Quinn, Sanguine Blade, Stormrazor, Infinity Edge,,16.41%,65.63%
Quinn, Blade of the Ruined King, Phantom Dancer, Infinity Edge,,11.67%,53.85%
Quinn, Blade of the Ruined King, Stormrazor, Infinity Edge,,8.59%,64.18%
Quinn, Blade of the Ruined King, Stormrazor, Phantom Dancer,,5.26%,65.85%
Quinn, Sanguine Blade, Stormrazor, Phantom Dancer,,4.36%,52.94%
Quinn, Blade of the Ruined King, Infinity Edge, Phantom Dancer,,2.56%,50.00%
Quinn, Stormrazor, Sanguine Blade, Infinity Edge,,1.67%,76.92%
Quinn, Sanguine Blade, Phantom Dancer, Infinity Edge,,1.41%,72.73%
Renekton, Tiamat, Black Cleaver, Sterak's Gage, Guardian Angel,13.72%,60.11%
Renekton, Tiamat, Black Cleaver, Guardian Angel, Sterak's Gage,10.00%,58.76%
Renekton, Black Cleaver, Sterak's Gage, Guardian Angel,,4.82%,56.82%
Renekton, Tiamat, Black Cleaver, Guardian Angel, Titanic Hydra,3.58%,61.22%
Renekton, Tiamat, Black Cleaver, Titanic Hydra, Sterak's Gage,3.47%,56.84%
Renekton, Tiamat, Black Cleaver, Titanic Hydra, Guardian Angel,3.10%,60.00%
Renekton, Tiamat, Black Cleaver, Ravenous Hydra, Guardian Angel,2.70%,58.11%
Renekton, Tiamat, Black Cleaver, Sterak's Gage, Titanic Hydra,2.55%,74.29%
Rengar, Black Cleaver, Essence Reaver, Guardian Angel,,18.25%,60.61%
Rengar, Black Cleaver, Essence Reaver, Spirit Visage,,11.34%,56.91%
Rengar, Black Cleaver, Death's Dance, Spirit Visage,,2.67%,65.52%
Rengar, Tiamat, Duskblade of Draktharr, Youmuu's Ghostblade, Edge of Night,2.58%,82.14%
Rengar, Black Cleaver, Essence Reaver, Zhonya's Hourglass,,2.49%,70.37%
Rengar, Tiamat, Black Cleaver, Ravenous Hydra, Spirit Visage,2.49%,62.96%
Rengar, Black Cleaver, Ravenous Hydra, Spirit Visage,,2.30%,80.00%
Rengar, Tiamat, Black Cleaver, Essence Reaver, Guardian Angel,1.57%,47.06%
Riven, Black Cleaver, Death's Dance, Guardian Angel,,20.05%,64.12%
Riven, Black Cleaver, Death's Dance, Youmuu's Ghostblade,,17.57%,60.40%
Riven, Black Cleaver, Youmuu's Ghostblade, Death's Dance,,9.20%,66.67%
Riven, Black Cleaver, Death's Dance, Maw of Malmortius,,5.42%,56.52%
Riven, Youmuu's Ghostblade, Black Cleaver, Death's Dance,,3.77%,56.25%
Riven, Black Cleaver, Death's Dance, Sterak's Gage,,3.42%,65.52%
Riven, Black Cleaver, Death's Dance, Ravenous Hydra,,2.59%,63.64%
Riven, Black Cleaver, Youmuu's Ghostblade, Guardian Angel,,1.89%,56.25%
Rumble, Liandry's Torment, Morellonomicon, Zhonya's Hourglass,,18.13%,56.52%
Rumble, Liandry's Torment, Zhonya's Hourglass, Morellonomicon,,14.06%,51.40%
Rumble, Morellonomicon, Liandry's Torment, Zhonya's Hourglass,,9.72%,59.46%
Rumble, Morellonomicon, Zhonya's Hourglass, Liandry's Torment,,5.65%,60.47%
Rumble, Liandry's Torment, Zhonya's Hourglass, Void Staff,,4.86%,43.24%
Rumble, Liandry's Torment, Zhonya's Hourglass, Rylai's Crystal Scepter,,4.86%,54.05%
Rumble, Zhonya's Hourglass, Liandry's Torment, Morellonomicon,,3.42%,65.38%
Rumble, Liandry's Torment, Rylai's Crystal Scepter, Zhonya's Hourglass,,3.15%,41.67%
Ryze, Rod of Ages, Archangel's Staff, Morellonomicon,,20.24%,52.53%
Ryze, Rod of Ages, Archangel's Staff, Zhonya's Hourglass,,6.62%,43.66%
Ryze, Rod of Ages, Archangel's Staff, Righteous Glory,,6.16%,48.48%
Ryze, Archangel's Staff, Rod of Ages, Morellonomicon,,5.69%,49.18%
Ryze, Archangel's Staff, Morellonomicon, Zhonya's Hourglass,,4.57%,51.02%
Ryze, Archangel's Staff, Righteous Glory, Morellonomicon,,3.54%,63.16%
Ryze, Rod of Ages, Archangel's Staff, Rabadon's Deathcap,,3.45%,54.05%
Ryze, Archangel's Staff, Morellonomicon, Rabadon's Deathcap,,2.43%,46.15%
Sett, Tiamat, Trinity Force, Titanic Hydra, Sterak's Gage,6.96%,56.78%
Sett, Trinity Force, Titanic Hydra, Sterak's Gage,,5.07%,61.81%
