WhoAmI,,Position,,Against,WinRate
Aatrox,",",Top,"Aatrox,Top",Sion,47.19
Aatrox,",",Top,"Aatrox,Top",Cassiopeia,53.85
Akali,",",Top,"Akali,Top",Sett,44.62
Akali,",",Top,"Akali,Top",Ornn,47.03
Akali,",",Top,"Akali,Top",Aatrox,47.98
Akali,",",Top,"Akali,Top",Mordekaiser,48.13
Akali,",",Top,"Akali,Top",Renekton,48.08
Akali,",",Top,"Akali,Top",Fiora,52.32
Akali,",",Top,"Akali,Top",Darius,49.52
Akali,",",Top,"Akali,Top",Garen,49.86
Akali,",",Top,"Akali,Top",Vladimir,48.25
Akali,",",Top,"Akali,Top",Irelia,50.94
Akali,",",Top,"Akali,Top",Kled,41.88
Akali,",",Top,"Akali,Top",Malphite,46.08
Akali,",",Top,"Akali,Top",Jax,50.60
Akali,",",Top,"Akali,Top",Teemo,46.73
Akali,",",Top,"Akali,Top",Shen,49.35
Akali,",",Top,"Akali,Top",Gangplank,44.24
Akali,",",Top,"Akali,Top",Sylas,48.49
Akali,",",Top,"Akali,Top",Camille,52.20
Akali,",",Top,"Akali,Top",Illaoi,49.26
Akali,",",Top,"Akali,Top",Rengar,40.90
Akali,",",Top,"Akali,Top",Yasuo,51.23
Akali,",",Top,"Akali,Top",Soraka,42.01
Akali,",",Top,"Akali,Top",Lucian,46.47
Akali,",",Top,"Akali,Top",Riven,53.74
Akali,",",Top,"Akali,Top",Kennen,50.52
Akali,",",Top,"Akali,Top",Poppy,47.86
Akali,",",Top,"Akali,Top",Rumble,47.97
Akali,",",Top,"Akali,Top",Quinn,43.50
Akali,",",Top,"Akali,Top",Ryze,49.18
Akali,",",Top,"Akali,Top",Pantheon,49.17
Akali,",",Top,"Akali,Top",Kayle,46.19
Akali,",",Top,"Akali,Top",Vayne,48.29
Akali,",",Top,"Akali,Top",Maokai,42.35
Akali,",",Top,"Akali,Top",Singed,45.95
Akali,",",Top,"Akali,Top",Yorick,40.78
Akali,",",Top,"Akali,Top",Tryndamere,45.98
Akali,",",Top,"Akali,Top",Dr. Mundo,40.36
Akali,",",Top,"Akali,Top",Nasus,43.56
Akali,",",Top,"Akali,Top",Zac,47.37
Akali,",",Top,"Akali,Top",Jayce,51.37
Akali,",",Top,"Akali,Top",Volibear,47.24
Akali,",",Top,"Akali,Top",Heimerdinger,49.00
Akali,",",Top,"Akali,Top",Olaf,49.45
Akali,",",Top,"Akali,Top",Urgot,47.73
Akali,",",Top,"Akali,Top",Gnar,40.00
Akali,",",Top,"Akali,Top",Cho'Gath,42.31
Akali,",",Top,"Akali,Top",Sion,39.74
Akali,",",Top,"Akali,Top",Hecarim,48.61
Akali,",",Top,"Akali,Top",Cassiopeia,39.22
Camille,",",Top,"Camille,Top",Sett,43.92
Camille,",",Top,"Camille,Top",Ornn,51.06
Camille,",",Top,"Camille,Top",Fiora,49.62
Camille,",",Top,"Camille,Top",Aatrox,51.74
Camille,",",Top,"Camille,Top",Renekton,50.67
Camille,",",Top,"Camille,Top",Mordekaiser,51.31
Camille,",",Top,"Camille,Top",Garen,57.64
Camille,",",Top,"Camille,Top",Darius,45.69
Camille,",",Top,"Camille,Top",Vladimir,45.69
Camille,",",Top,"Camille,Top",Irelia,51.11
Camille,",",Top,"Camille,Top",Akali,47.80
Camille,",",Top,"Camille,Top",Jax,47.71
Camille,",",Top,"Camille,Top",Malphite,46.44
Camille,",",Top,"Camille,Top",Poppy,49.61
